,id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,a few days or more,within a day,within a few hours,within an hour,Hawaii,Honolulu,Kauai,Maui,Entire home/apt,Hotel room,Private room,Shared room
0,5269,733447,1.0,0.88,True,4.0,True,True,2,1.0,150.0,3,200,281,11,88.0,0,1,0,0,1,0,0,0,1,0,0,0
1,5387,733451,1.0,1.0,False,3.0,True,True,2,1.0,85.0,5,60,272,168,93.0,0,0,0,1,1,0,0,0,1,0,0,0
2,5389,733451,1.0,1.0,False,3.0,True,True,6,3.0,239.0,6,180,203,23,97.0,0,0,0,1,1,0,0,0,1,0,0,0
3,5434,733454,1.0,0.98,True,2.0,True,True,6,3.0,295.0,2,730,274,109,95.0,0,0,0,1,0,0,1,0,1,0,0,0
4,7896,733574,1.0,1.0,False,1.0,True,True,4,1.0,212.0,4,365,293,28,90.0,0,1,0,0,0,0,0,1,1,0,0,0
5,8833,733571,1.0,1.0,False,1.0,True,True,4,2.0,98.0,3,365,129,230,89.0,0,0,0,1,1,0,0,0,1,0,0,0
6,9877,733641,1.0,1.0,True,1.0,True,True,4,2.0,120.0,3,90,195,28,99.0,0,0,1,0,1,0,0,0,1,0,0,0
7,13523,733721,0.96,1.0,True,11.0,True,True,8,2.0,250.0,30,1125,204,24,97.0,0,0,0,1,0,1,0,0,1,0,0,0
8,13653,733723,1.0,1.0,True,9.0,True,False,2,1.0,218.0,3,90,284,102,97.0,0,0,0,1,0,0,0,1,0,0,1,0
9,13688,733723,1.0,0.99,True,2.0,True,True,6,2.0,199.0,3,30,144,134,97.0,0,0,0,1,1,0,0,0,1,0,0,0
10,13799,733725,0.97,0.87,False,2.0,True,False,4,1.0,129.0,2,730,150,131,95.0,0,0,1,0,0,0,0,1,1,0,0,0
11,13900,733727,1.0,1.0,False,6.0,True,True,6,2.0,75.0,3,40,287,112,88.0,0,0,0,1,1,0,0,0,1,0,0,0
12,13933,733727,1.0,0.92,False,1.0,True,True,13,3.0,204.0,1,179,0,46,94.0,0,1,0,0,1,0,0,0,1,0,0,0
13,14512,733722,1.0,1.0,False,4.0,True,True,6,2.0,250.0,3,365,251,4,95.0,0,0,0,1,0,0,1,0,1,0,0,0
14,14513,733722,1.0,1.0,False,4.0,True,True,6,2.0,525.0,3,730,221,9,95.0,0,0,0,1,0,0,1,0,1,0,0,0
15,14514,733722,1.0,1.0,False,4.0,True,True,4,2.0,525.0,3,365,273,26,93.0,0,0,0,1,0,0,1,0,1,0,0,0
16,15648,733506,1.0,1.0,True,3.0,True,True,2,1.0,118.0,7,1125,207,65,97.0,0,0,1,0,1,0,0,0,1,0,0,0
17,15757,733750,1.0,0.73,False,2.0,True,True,3,1.0,145.0,3,30,273,208,90.0,0,0,0,1,0,0,0,1,1,0,0,0
18,16914,733766,1.0,1.0,False,1.0,True,False,4,2.0,144.0,4,180,212,69,94.0,0,0,1,0,0,0,0,1,1,0,0,0
19,18465,733789,1.0,1.0,True,5.0,True,False,5,1.0,169.0,90,365,307,72,96.0,0,0,0,1,0,1,0,0,1,0,0,0
20,18466,733789,1.0,1.0,True,5.0,True,False,5,1.0,149.0,90,365,315,69,97.0,0,0,0,1,0,1,0,0,1,0,0,0
